"filename", "language", "C++", "Python", "comment", "blank", "total"
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej Parcial Presupuesto\presupuesto.cpp", "C++", 69, 0, 0, 39, 108
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej Parcial Presupuesto\presupuesto.py", "Python", 0, 33, 0, 11, 44
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej Parcial2 Transmillar\transmillar.cpp", "C++", 67, 0, 1, 33, 101
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej1 Pitagoras\pitagoras.cpp", "C++", 12, 0, 0, 4, 16
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej1 Pitagoras\pitagoras.py", "Python", 0, 4, 0, 2, 6
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej2 Interes\Interes_simple.cpp", "C++", 15, 0, 0, 4, 19
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej2 Interes\interes_compuesto.cpp", "C++", 15, 0, 0, 4, 19
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej3 Productos\productos.cpp", "C++", 22, 0, 0, 8, 30
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej4 Dias\dias.cpp", "C++", 13, 0, 0, 7, 20
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej5 Toppings\toppings.cpp", "C++", 20, 0, 0, 9, 29
"c:\Users\mateo\Data\Programming\Desktop\C++\Ej6 Retiro\retiro.cpp", "C++", 13, 0, 0, 7, 20
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs11 Triangulo\triangulo.cpp", "C++", 19, 0, 0, 8, 27
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs12 RPS\RPS.cpp", "C++", 20, 0, 0, 5, 25
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs13 Plato\Plato.cpp", "C++", 38, 0, 0, 9, 47
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs14 Historia\historia.cpp", "C++", 32, 0, 0, 25, 57
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs15 Frio-Caliente\FrioCaliente.cpp", "C++", 35, 0, 0, 7, 42
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs7-10 Condicionales\Ejs10 Temperatura\temperatura.cpp", "C++", 17, 0, 0, 11, 28
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs7-10 Condicionales\Ejs7 Descuento\descuento.cpp", "C++", 9, 0, 0, 5, 14
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs7-10 Condicionales\Ejs8 IMC\imc.cpp", "C++", 31, 0, 1, 6, 38
"c:\Users\mateo\Data\Programming\Desktop\C++\Ejs7-10 Condicionales\Ejs9 Paridad\paridad.cpp", "C++", 14, 0, 1, 4, 19
"Total", "-", 461, 37, 3, 208, 709
